date,others,served_model_name,timestamp,folder,time_s,throughput_GiB_s,task_id,concurrency,startup time_s,model,model_GiB,message,bucket,client_number,node_name,timestamp_end,memory_limit,state
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:13:45.332000,models,23.98,5.5,llama_70b_vllm_model_streamer_20260307,8,130.022,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,1,rs-cai-mi325x1-pool-4ilnw,2026-03-07 23:15:55.355000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:16:53.705000,models,31.32,4.2,llama_70b_vllm_model_streamer_20260307,8,135.024,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,2,rs-cai-mi325x1-pool-4ilne,2026-03-07 23:19:08.729000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:16:54.031000,models,32.44,4.1,llama_70b_vllm_model_streamer_20260307,8,135.023,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,2,rs-cai-mi325x1-pool-4ilnr,2026-03-07 23:19:09.055000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:20:33.257000,models,38.43,3.4,llama_70b_vllm_model_streamer_20260307,8,140.024,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,3,rs-cai-mi325x1-pool-4ilng,2026-03-07 23:22:53.281000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:20:33.397000,models,38.77,3.4,llama_70b_vllm_model_streamer_20260307,8,145.026,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,3,rs-cai-mi325x1-pool-4ilnw,2026-03-07 23:22:58.423000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:20:33.559000,models,36.44,3.6,llama_70b_vllm_model_streamer_20260307,8,140.025,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,3,rs-cai-mi325x1-pool-4ilnl,2026-03-07 23:22:53.584000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:24:12.509000,models,40.33,3.3,llama_70b_vllm_model_streamer_20260307,8,145.025,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,4,rs-cai-mi325x1-pool-4iln6,2026-03-07 23:26:37.534000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:24:12.547000,models,42.46,3.1,llama_70b_vllm_model_streamer_20260307,8,145.025,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,4,rs-cai-mi325x1-pool-4ilnb,2026-03-07 23:26:37.573000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:24:12.829000,models,39.43,3.3,llama_70b_vllm_model_streamer_20260307,8,145.026,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,4,rs-cai-mi325x1-pool-4rauj,2026-03-07 23:26:37.855000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:24:12.935000,models,38.34,3.4,llama_70b_vllm_model_streamer_20260307,8,140.024,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,4,rs-cai-mi325x1-pool-4ilnr,2026-03-07 23:26:32.960000,2684354560,success
2026-03-07,mi325_doks,meta-llama/Llama-3.1-70B-Instruct,2026-03-07 23:29:06.074000,models,45.78,2.9,llama_70b_vllm_model_streamer_20260307,8,150.026,Llama-3.1-70B-Instruct,131.4,Started successfully,rs-high-perf-bucket,5,rs-cai-mi325x1-pool-4ilnt,2026-03-07 23:31:36.100000,2684354560,success
